@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Entropy_1_32 numeric
@attribute Entropy_1_64 numeric
@attribute Entropy_1_128 numeric
@attribute Entropy_1_256 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Entropy_2_32 numeric
@attribute Entropy_2_64 numeric
@attribute Entropy_2_128 numeric
@attribute Entropy_2_256 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Entropy_4_32 numeric
@attribute Entropy_4_64 numeric
@attribute Entropy_4_128 numeric
@attribute Entropy_4_256 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Entropy_8_32 numeric
@attribute Entropy_8_64 numeric
@attribute Entropy_8_128 numeric
@attribute Entropy_8_256 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Mean_16.0 numeric
@attribute Median_16.0 numeric
@attribute Entropy_16_32 numeric
@attribute Entropy_16_64 numeric
@attribute Entropy_16_128 numeric
@attribute Entropy_16_256 numeric
@attribute class {'class 1','class 2'}

@data
0,0,0,0,0,0,0,0,0,0,0.000002,0.002332,-0.000002,0,0,0,0,0,0,0.012008,0.161226,-0.012008,-0.012006,0.052632,0,0.297945,0.297945,0.297945,0.297945,0.109239,0.30146,-0.109239,-0.109236,-0.097231,0.187793,0,0.750884,0.750884,0.750884,0.750884,0.155281,0.143594,-0.155281,-0.155279,-0.143273,-0.046042,0.129193,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.000017,0,0,0,0,0,0,0.00055,0.092657,-0.00055,0,0,0,0,0,0,0.04398,0.427018,-0.04398,-0.04343,0.087719,0,0.533598,0.533598,0.533598,0.533598,0.14369,0.329639,-0.14369,-0.14314,-0.09971,0.215962,0,0.796587,0.796587,0.796587,0.796587,0.164537,0.133679,-0.164537,-0.163987,-0.120557,-0.020848,0.12795,0,0.549436,0.549436,0.549436,0.549436,'class 2'
0,0,0.000006,0.198917,0,0,0,0,0,0,0.027078,0.945463,-0.027071,0.142857,0,0.548954,0.548954,0.548954,0.548954,0.121346,0.797142,-0.121339,-0.094268,0.192982,0,0.701627,0.701627,0.701627,0.701627,0.184057,0.343907,-0.184051,-0.156979,-0.062712,0.230047,0,0.816428,0.816428,0.816428,0.816428,0.171987,0.120887,-0.171981,-0.144909,-0.050642,0.01207,0.126708,0,0.545469,0.545469,0.545469,0.545469,'class 2'
0,5.09902,0.075881,4.591904,0.333333,0,0.986427,0.986427,0.986427,0.986427,0.286554,2.367108,-0.210673,0.190476,0,0.722858,0.722858,0.722858,0.722858,0.24804,1.044374,-0.172158,0.038515,0.210526,0,0.844959,0.844959,0.844959,0.844959,0.227202,0.333819,-0.15132,0.059353,0.020838,0.230047,0,0.874168,0.874168,0.874168,0.874168,0.17727,0.10659,-0.101389,0.109284,0.07077,0.049932,0.126708,0,0.541477,0.541477,0.541477,0.541477,'class 2'
0,0,0,0.002312,0,0,0,0,0,0,0.000902,0.143729,-0.000902,0,0,0,0,0,0,0.049167,0.456749,-0.049167,-0.048264,0.105263,0,0.427365,0.427365,0.427365,0.427365,0.127943,0.338026,-0.127943,-0.127041,-0.078777,0.173709,0,0.737956,0.737956,0.737956,0.737956,0.149868,0.135939,-0.149868,-0.148965,-0.100701,-0.021924,0.124224,0,0.541477,0.541477,0.541477,0.541477,'class 2'
0,0,0.000004,0.198342,0,0,0,0,0,0,0.026255,0.962377,-0.026251,0.190476,0,0.722858,0.722858,0.722858,0.722858,0.131525,0.82704,-0.131521,-0.10527,0.140351,0,0.701627,0.701627,0.701627,0.701627,0.172219,0.374926,-0.172215,-0.145964,-0.040694,0.192488,0,0.748018,0.748018,0.748018,0.748018,0.157962,0.125891,-0.157958,-0.131707,-0.026437,0.014257,0.122981,0,0.541477,0.541477,0.541477,0.541477,'class 2'
0,4.472136,0.040394,4.10043,0.333333,0,0.986427,0.986427,0.986427,0.986427,0.245199,2.299005,-0.204805,0.285714,0,0.963746,0.963746,0.963746,0.963746,0.263305,1.069704,-0.222911,-0.018106,0.245614,0,0.826282,0.826282,0.826282,0.826282,0.220383,0.378103,-0.179989,0.024816,0.042922,0.192488,0,0.759911,0.759911,0.759911,0.759911,0.164141,0.113857,-0.123747,0.081058,0.099164,0.056242,0.121739,0,0.530669,0.530669,0.530669,0.530669,'class 2'
0,1.414214,0.001631,1.303427,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.057578,0.831961,-0.055947,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.098058,0.555755,-0.096427,-0.04048,0.122807,0,0.482752,0.482752,0.482752,0.482752,0.096146,0.247509,-0.094515,-0.038568,0.001912,0.084507,0,0.401488,0.401488,0.401488,0.401488,0.061594,0.058661,-0.059963,-0.004016,0.036464,0.034552,0.03354,0,0.195437,0.195437,0.195437,0.195437,'class 2'
0,1.414214,0.001631,1.303417,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.057157,0.788992,-0.055525,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.084552,0.471729,-0.082921,-0.027395,0.087719,0,0.482752,0.482752,0.482752,0.482752,0.099708,0.266434,-0.098076,-0.042551,-0.015156,0.093897,0,0.454181,0.454181,0.454181,0.454181,0.065821,0.061408,-0.064189,-0.008664,0.018731,0.033887,0.036025,0,0.207952,0.207952,0.207952,0.207952,'class 2'
0,0,0.000003,0.12155,0,0,0,0,0,0,0.015929,0.513993,-0.015926,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.06129,0.393921,-0.061287,-0.045361,0.052632,0,0.427365,0.427365,0.427365,0.427365,0.092651,0.26724,-0.092648,-0.076722,-0.031362,0.098592,0,0.470786,0.470786,0.470786,0.470786,0.066166,0.063436,-0.066163,-0.050237,-0.004876,0.026485,0.037267,0,0.220139,0.220139,0.220139,0.220139,'class 2'
