sample_id_int,cell_id,Area,CD3_Mean,CD8_Mean,CD19_Mean,CD68_Mean,CK_Mean,CD3 (Opal 540) Mean,CD8 (Opal 650) Mean,CD19 (Opal 480) Mean,CD68 (Opal 520) Mean,CK (Opal 780) Mean,IER3 (Opal 620) Mean, pStat3 (Opal 570) Mean, Ki67 (Opal 690) Mean, Dapi (DAPI) Mean,tsne_1,tsne_2,cell_type_inform_int,cell_type_manual_int,cell_type_auto_int,cell_type_FlowSOM_QC
1,1240,377,0,8.38E-06,0,0.144,0.069,0.214,0.438,0,3.786,0.283,0.164,0.211,0.54,4.067,45.982826,41.444473,5,6,4,6
1,1293,185,0,0,0,0.0002214,0.046,0.157,0.506,0,1.166,0.344,0.115,0.089,0.204,5.069,29.312807,-23.463799,5,6,6,6
1,1365,139,0,0,0,0,0.036,0.161,0.27,0,0.569,0.183,0.067,0.096,0.112,4.805,-20.137745,20.576202,5,6,6,6
1,1467,223,0,0,0,1.13E-05,0.088,0.123,0.314,0,0.836,0.287,0.096,0.066,0.063,4.476,3.1580915,-6.7858686,5,6,5,6
1,1504,232,0,0.007,0,0,0.097,0.207,0.687,0,0.814,0.263,0.11,0.078,0.101,6.735,-1.1968274,29.61741,5,5,5,6
1,1543,1285,0,0,0,0.0002326,0.034,0.198,0.34,0,1.136,0.258,0.127,0.102,0.101,5.485,15.878926,-6.7731924,5,6,6,6
1,1653,85,0,0,0,0,0.094,0.108,0.341,0,0.781,0.301,0.079,0.105,0.645,6.008,-4.2150245,-22.424679,5,6,5,6
1,1800,304,0.0001633,0,0,0.043,0.041,0.13,0.303,0,1.693,0.204,0.074,0.078,0.08,4.385,34.84909,3.8525603,5,6,6,6
1,1864,187,0,0,0,0,0.046,0.153,0.329,0,0.947,0.45,0.123,0.084,0.107,3.678,18.62542,-30.940163,5,6,6,6
1,1896,351,0,0,0,0.078,0.095,0.127,0.446,0,5.865,0.335,0.09,0.161,2.667,5.678,62.082382,18.612806,5,5,4,6
1,1949,140,0.002,0,0,0.0006747,0.078,0.227,0.251,0,1.131,0.445,0.088,0.076,0.095,2.403,24.038008,-19.33638,5,6,6,6
1,1986,46,0,0,0,0,0.074,0.388,0.489,0,1.246,0.307,0.144,0.331,0.118,4.412,17.647854,13.920288,5,6,6,6
2,221,192,0,0,0,0.01,0.098,0.233,0.377,0,1.067,0.305,0.141,0.071,0.603,3.729,14.78786,-7.1249495,5,5,5,6
2,592,332,0,0,0.0008221,0,0,0.153,0.318,0.008,0.534,0.129,0.046,0.047,0.09,4.075,-20.600365,22.347658,5,6,6,6
2,605,433,0,1.75E-05,0,0,0,0.25,0.403,0,0.496,0.128,0.065,0.02,0.082,7.367,-19.613365,33.862724,5,6,6,6
2,639,459,0,0.0004204,0.006,0.006,0.034,0.131,0.41,0.005,1.34,0.168,0.066,0.07,0.082,6.384,15.271035,12.7433405,5,6,6,6
2,652,563,0.0004485,0,0.0007659,0.053,0.037,0.105,0.323,0.005,1.769,0.193,0.087,0.09,0.078,4.015,36.26633,5.2529325,5,6,6,6
2,654,520,0,0,0.003,0.047,0.007,0.096,0.245,0.005,1.907,0.147,0.05,0.066,0.066,4.676,37.668095,8.924573,5,6,6,6
2,675,573,0,0,0,7.84E-05,0.081,0.132,0.253,0,0.898,0.277,0.075,0.054,0.054,5.318,7.177728,-10.021509,5,6,6,6
2,725,297,0,0,6.34E-05,0,0,0.2,0.284,0.002,0.574,0.118,0.077,0.124,0.093,8.107,-19.355335,21.88365,5,6,6,6
2,760,375,0,0,0,0,0,0.144,0.32,0,0.464,0.119,0.078,0.092,0.094,3.171,-26.871286,33.33209,5,6,6,6
2,946,350,0,0,0,0.009,0.073,0.217,0.408,0,2.695,0.359,0.116,0.123,1.235,2.685,34.8233,27.284206,5,6,6,6
2,954,807,0,0,2.40E-05,0.0005439,1.71E-05,0.141,0.313,0,0.745,0.14,0.099,0.086,0.096,5.71,-14.084714,18.902,5,6,6,6
2,1079,406,0,1.45E-05,0.051,6.01E-05,0,0.156,0.454,0.076,0.928,0.128,0.076,0.338,0.099,4.246,8.06237,11.127324,5,6,6,6
2,1094,813,0.0001178,0,0,0.0001137,0,0.151,0.272,0,0.893,0.121,0.091,0.078,0.097,4.16,6.972557,6.3663726,5,6,6,6
2,1126,152,0,0,0.008,0,0,0.133,0.332,0.003,0.658,0.121,0.074,0.187,0.074,6.62,-15.82914,20.02861,5,6,6,6
2,1137,385,0,0,0.002,0.0006096,0.061,0.169,0.388,0.005,1.041,0.217,0.101,0.146,0.09,4.569,14.650866,-6.115198,5,6,6,6
2,1150,317,0.009,0.0002076,0.118,0.0004331,0.088,0.158,0.4,0.116,1.084,0.286,0.078,0.085,0.118,3.132,14.815823,-4.919602,5,6,1,6
2,1154,878,0,0,0.01,0.002,0.061,0.152,0.258,0.007,0.729,0.206,0.07,0.115,0.082,4.17,-5.408827,-1.9304508,5,6,6,6
2,1166,297,0,0,8.52E-06,0.06,0.044,0.265,0.311,0,2.405,0.265,0.094,0.144,0.149,8.062,37.361977,21.357367,5,6,6,6
2,1259,281,0,0,0.113,0,0,0.24,0.453,0.096,0.636,0.121,0.072,0.191,0.118,6.99,-13.210572,32.446564,5,6,1,6
2,1281,865,0,0,0.036,1.61E-05,0,0.157,0.392,0.04,0.652,0.12,0.068,0.111,0.095,5.985,-14.921643,21.320932,5,6,6,6
2,1347,539,0.0002008,0,2.35E-06,0.00012,0,0.148,0.302,0,0.669,0.118,0.09,0.133,0.084,4.591,-15.752052,19.42221,5,6,6,6
2,1451,699,0.0003104,0,1.18E-05,0.002,0.035,0.167,0.301,0.001,1.395,0.206,0.071,0.094,0.095,5.615,27.65738,-0.562538,5,6,6,6
2,1480,209,0.0003068,0,0.0003359,0.047,0.092,0.183,0.356,0,2.544,0.326,0.12,0.13,7.63,8.235,35.6957,25.09112,5,6,5,6
3,25,194,0,0,0.0001954,0,0.079,0.216,0.161,0,0.502,0.196,0.102,0.349,0.103,7.914,-34.777218,-2.3106768,5,6,6,6
3,65,69,0,0,0.0001737,0,0,0.136,0.224,0,0.415,0.155,0.102,0.115,0.068,6.508,-47.647457,12.149936,5,6,6,6
3,199,995,1.95E-05,0,0,0,0.071,0.237,0.163,0,0.578,0.218,0.105,0.136,0.082,10.784,-31.85721,-2.887611,5,6,6,6
3,245,422,0,0,0,0,0.092,0.21,0.165,0,0.587,0.219,0.102,0.105,0.083,10.193,-31.907282,-3.3014717,5,6,5,6
3,272,158,0,0,0.0001817,0,0.001,0.157,0.328,0,0.612,0.147,0.105,0.095,4.79,9.265,-17.324402,20.73058,5,6,6,6
3,279,76,0,0,0.002,0,0.012,0.258,0.198,0.008,0.504,0.277,0.147,0.086,0.107,6.498,-37.991096,-1.2285174,5,6,6,6
3,310,211,0,0,0,0,0.055,0.248,0.213,0,0.528,0.206,0.109,0.124,0.16,10.234,-34.827564,4.3647623,5,6,6,6
3,410,293,0,0,0.0001103,0,0.098,0.179,0.164,0,0.588,0.23,0.101,0.085,0.16,4.704,-31.946028,-3.7556818,5,5,5,6
