original,Gaussian_blur_2.0,Gaussian_blur_4.0,Entropy_2_64,Entropy_2_128,Entropy_2_256,class
0,0.006184,0.086545,0.276195,0.276195,0.276195,'class 2'
0,0.011387,0.098622,0.276195,0.276195,0.276195,'class 2'
0,0.016258,0.141349,0.548954,0.548954,0.548954,'class 2'
0,0.121791,0.215665,0.722858,0.722858,0.722858,'class 2'
0,0.369233,0.298668,0.963746,0.963746,0.963746,'class 2'
0,0.131136,0.188751,0.722858,0.722858,0.722858,'class 2'
0,0.073107,0.18079,0.722858,0.722858,0.722858,'class 2'
0,0.12604,0.193589,0.548954,0.548954,0.548954,'class 2'
0,0.106057,0.244432,1.023037,1.023037,1.023037,'class 2'
0,0.005015,0.047342,0.276195,0.276195,0.276195,'class 2'
0,0.011959,0.111272,0.276195,0.276195,0.276195,'class 2'
0,0.037063,0.237199,0.856996,0.856996,0.856996,'class 2'
0,0.00001,0.009801,0,0,0,'class 2'
0,0.000111,0.029742,0,0,0,'class 2'
0,0.000853,0.078705,0,0,0,'class 2'
0,0.012401,0.179005,0.453716,0.453716,0.453716,'class 2'
0,0.000001,0.010451,0,0,0,'class 2'
0,0.00013,0.034193,0,0,0,'class 2'
0,0.005698,0.086229,0.276195,0.276195,0.276195,'class 2'
0,0.05852,0.173408,0.453716,0.453716,0.453716,'class 2'
0,0.000021,0.020232,0,0,0,'class 2'
0,0.0013,0.061659,0,0,0,'class 2'
0,0.026146,0.136445,0.722858,0.722858,0.722858,'class 2'
0,0.000222,0.037373,0,0,0,'class 2'
0,0.011305,0.10617,0.276195,0.276195,0.276195,'class 2'
0,0.130486,0.215143,0.892943,0.892943,0.892943,'class 2'
0,0.000003,0.016892,0,0,0,'class 2'
0,0.000662,0.057781,0,0,0,'class 2'
0,0.032929,0.151826,0.453716,0.453716,0.453716,'class 2'
0,0.347663,0.288998,0.856996,0.856996,0.856996,'class 2'
0,0.000106,0.032811,0,0,0,'class 2'
0,0.001064,0.082016,0,0,0,'class 2'
0,0.041975,0.183563,0.591673,0.591673,0.591673,'class 2'
0,0.005346,0.074576,0.276195,0.276195,0.276195,'class 2'
0,0.012118,0.128862,0.276195,0.276195,0.276195,'class 2'
